,id,location,morphology,ra,dec,x,y,p_sph,p_disk,p_irr,p_ps,real_x,real_y
437,439,"[2533, 1169]","[0.9708292428524279, 0.025824556168590307, 0.004546760763194287, -0.0012005597842125167]",110.86448289717195,-73.4403003699158,1169.0,2533.0,0.9708292428524279,0.025824556168590307,0.004546760763194287,-0.0012005597842125167,1969.0,3333.0
438,440,"[2542, 2357]","[0.000591817753486628, 0.1857398087880809, 0.8135063101088091, 0.00016206334962332657]",110.79501302372894,-73.44014913028502,2357.0,2542.0,0.000591817753486628,0.1857398087880809,0.8135063101088091,0.00016206334962332657,3157.0,3342.0
439,441,"[2542, 810]","[-0.0, -0.0, -0.0, 1.0]",110.88547553371109,-73.4401462170267,810.0,2542.0,-0.0,-0.0,-0.0,1.0,1610.0,3342.0
440,442,"[2553, 2059]","[0.0028257967901582667, 0.9682560468943333, 0.028664125918175833, 0.00025403039733256386]",110.8124391238809,-73.43996827007035,2059.0,2553.0,0.0028257967901582667,0.9682560468943333,0.028664125918175833,0.00025403039733256386,2859.0,3353.0
441,443,"[2551, 952]","[0.21032544935835595, 0.5652392190355633, 0.19600020064690363, 0.028435130959177175]",110.87717154839136,-73.43999811094139,952.0,2551.0,0.21032544935835595,0.5652392190355633,0.19600020064690363,0.028435130959177175,1752.0,3351.0
442,444,"[2557, 1332]","[4.79710041796867e-06, 0.8963554398381678, 0.10362783431988608, 1.1928741528136996e-05]",110.85495070671475,-73.43990156192628,1332.0,2557.0,4.79710041796867e-06,0.8963554398381678,0.10362783431988608,1.1928741528136996e-05,2132.0,3357.0
443,445,"[2580, 1173]","[0.0003706159924974047, 0.3328149338635556, 0.652904223297848, 0.013910226846098937]",110.86424757647892,-73.43951707117948,1173.0,2580.0,0.0003706159924974047,0.3328149338635556,0.652904223297848,0.013910226846098937,1973.0,3380.0
444,446,"[2587, 1307]","[0.017937646227967615, 5.435095334928525e-05, 4.3214684910271635e-05, 0.9819647881337729]",110.85641191485179,-73.43940140731229,1307.0,2587.0,0.017937646227967615,5.435095334928525e-05,4.3214684910271635e-05,0.9819647881337729,2107.0,3387.0
445,447,"[2599, 1265]","[0.002358712292652631, 0.0934219367126877, 0.8969044311614182, 0.007314919833241463]",110.85886750466706,-73.43920112454157,1265.0,2599.0,0.002358712292652631,0.0934219367126877,0.8969044311614182,0.007314919833241463,2065.0,3399.0
446,448,"[2601, 2273]","[0.999240126073088, 0.00025758139130215317, -3.7353664832299246e-05, 0.0005396462004421428]",110.79992695170992,-73.43916664084236,2273.0,2601.0,0.999240126073088,0.00025758139130215317,-3.7353664832299246e-05,0.0005396462004421428,3073.0,3401.0
